Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ürün derecelendirmesi sayısı (product.metafields.reviews.rating_count),Alerjen Bilgisi (product.metafields.shopify.allergen-information),Diyet Tercihleri (product.metafields.shopify.dietary-preferences),Fındık Ezmesi Çeşitleri (product.metafields.shopify.nut-butter-variety),Kabuklu yemiş işleme yöntemi (product.metafields.shopify.nut-processing-method),Fındık/Tohum türü (product.metafields.shopify.nut-seed-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cig-findik-i̇ci-500g,Çiğ Fındık İçi 500G,"<h2>Çiğ İç Fındık 500g - Giresun'un Lezzeti</h2>
<p><strong>Çiğ iç fındık</strong>, Türkiye'nin en kaliteli fındık bölgelerinden özenle seçilmiş, %100 doğal ve katkısız bir üründür. E vitamini, B vitaminleri, folat, magnezyum, fosfor ve sağlıklı yağlar açısından son derece zengin olan fındık, kalp sağlığını korur ve kolesterol seviyesini dengelemeye yardımcı olur.</p>
<p>Güçlü antioksidan özellikleri sayesinde hücre yenilenmesini destekler ve bağışıklık sistemini güçlendirir. Omega-3 ve omega-9 yağ asitleri içeren fındık, beyin fonksiyonlarını destekler ve hafızayı güçlendirir. Protein ve lif bakımından zengin yapısı, kas gelişimine katkı sağlar ve uzun süre tokluk hissi verir.</p>
<p>Çiğ iç fındık, günlük ara öğünlerde tüketebileceğiniz, tariflerinize ekleyebileceğiniz veya fındık sütü yapımında kullanabileceğiniz çok yönlü bir besin kaynağıdır. Ezmeo olarak, taze ve kaliteli fındıkları hijyenik koşullarda paketleyerek size sunuyoruz.</p>
<h3>Çiğ İç Fındığın Faydaları</h3>
<ul>
<li>Kalp ve damar sağlığını korur, iyi kolesterol seviyesini artırır</li>
<li>Beyin sağlığını destekler, konsantrasyon ve hafızayı güçlendirir</li>
<li>E vitamini ile cilt sağlığını korur, yaşlanma belirtilerini geciktirir</li>
<li>Kemik ve diş sağlığını destekleyen kalsiyum ve fosfor içerir</li>
<li>Enerji metabolizmasını hızlandırır, yorgunluğu azaltır</li>
<li>Antioksidan özelliği ile bağışıklık sistemini güçlendirir</li>
</ul>
<h3>Kullanım Önerileri</h3>
<p>Çiğ iç fındığı direkt olarak tüketebilir, kahvaltıda yoğurt ve meyve ile kombinleyebilir, smoothie ve milkshake'lerinize ekleyebilirsiniz. Kek, kurabiye ve tatlı tariflerinizde kullanabilir, fındık sütü veya fındık ezmesi yapabilirsiniz. Salatalara ekleyerek besleyici değerini artırabilirsiniz.</p>
<h3>Ürün Özellikleri</h3>
<ul>
<li>500 gram net ağırlık</li>
<li>%100 doğal çiğ iç fındık</li>
<li>Hiçbir katkı maddesi, tuz veya şeker içermez</li>
<li>Kaliteli bölgelerden tedarik edilir</li>
<li>Hijyenik koşullarda paketlenmiştir</li>
<li>Serin ve kuru ortamda muhafaza edilmelidir</li>
<li>Glutensiz ve vegan</li>
</ul>
<p>Türkiye'nin en değerli ürünlerinden <strong>Çiğ İç Fındık 500g</strong>'ı hemen sipariş edin, doğal lezzet ve sağlığın keyfini çıkarın!</p>",Ezmeo,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds","","",true,Title,Default Title,,,,,,,,EZMEO-K003,500.0,,deny,manual,371.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/CigFindik500G.jpg?v=1764528107,1,Çiğ iç fındık taneleri ahşap kase içinde üstten görünüm,false,Çiğ İç Fındık 500g - Doğal Türk Fındığı | Ezmeo,"500g çiğ iç fındık, E vitamini ve omega-3 deposu. Kalp ve beyin sağlığı için ideal. %100 doğal, katkısız Türk fındığı. Hemen sipariş ver!",,,,,,,,,,,,,,nuts,vegetarian; vegan; gluten-free; halal; keto; high-protein,,raw,hazelnuts,,g,,,active
cig-findik-i̇ci-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/cigfindikici2.gorsel.jpg?v=1764528107,2,Doğal kabuksuz çiğ iç fındık yakın çekim detay fotoğrafı,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-findik-i̇ci-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/KavrulmusFindik3.Gorsel.jpg?v=1764528148,3,Ezmeo markası çiğ iç fındık 500g doypack ambalaj ürün görseli,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-findik-i̇ci-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/1_11b8ee39-f532-4bdb-b0ff-3a2b6c08ed3b.png?v=1764528148,4,Elden dökülen taze çiğ iç fındık taneleri doğal arka plan,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-findik-i̇ci-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/2_36376f17-e46a-4eb2-ae86-de6b3c5b41e6.png?v=1764528148,5,Çiğ iç fındık taneleri beyaz zemin üzerinde sağlıklı atıştırmalık,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-ceviz-ici-500g,Çiğ Ceviz İçi 500G,"<h2>Çiğ Ceviz İçi 500g - Beyin Sağlığının Dostu</h2>
<p><strong>Çiğ ceviz içi</strong>, doğanın en değerli besin kaynaklarından biri olup %100 doğal ve katkısız yapısıyla sağlıklı beslenmenin vazgeçilmezidir.</p>
<p>Omega-3 yağ asitleri, protein, E vitamini, B vitaminleri, magnezyum, fosfor ve antioksidanlar açısından son derece zengin olan ceviz, beyin sağlığını destekler ve bilişsel fonksiyonları güçlendirir. </p>
<p>Kalp ve damar sağlığını korur, kolesterol seviyesini dengelemeye yardımcı olur ve kan şekeri kontrolünü destekler. Güçlü antioksidan özellikleri sayesinde hücresel yaşlanmayı yavaşlatır ve bağışıklık sistemini güçlendirir.</p>
<p>Melatonin içeriği sayesinde uyku kalitesini artırır. Çiğ ceviz içi, günlük 4-5 adet (yaklaşık 30 gram) tüketildiğinde omega-3 ihtiyacınızı karşılamaya yardımcı olur. Sporcular, öğrenciler ve zihinsel performans arayanlar için ideal bir besin kaynağıdır. Ezmeo olarak, en taze ve kaliteli ceviz içlerini hijyenik koşullarda paketleyerek sofralarınıza taşıyoruz.</p>
<h3>Çiğ Ceviz İçinin Faydaları</h3>
<ul>
<li>Beyin fonksiyonlarını güçlendirir, hafıza ve konsantrasyonu artırır</li>
<li>Omega-3 yağ asitleri ile kalp ve damar sağlığını destekler</li>
<li>Kolesterol seviyesini dengelemeye yardımcı olur</li>
<li>Güçlü antioksidanlar içerir, hücre yenilenmesini destekler</li>
<li>Kan şekeri kontrolüne yardımcı olur, diyabet riskini azaltır</li>
<li>Kemik sağlığını destekleyen mineral deposudur</li>
<li>Uyku kalitesini artırır, stres ve anksiyeteyi azaltır</li>
</ul>
<h3>Kullanım Önerileri</h3>
<p>Çiğ ceviz içini direkt olarak ara öğünlerde tüketebilir, kahvaltıda yulaf ezmesi veya yoğurt ile karıştırabilirsiniz. Salatalara, kek ve kurabiye tariflerine ekleyebilir, smoothie ve milkshake'lerinizde kullanabilirsiniz.</p>
<p>Bal ile birlikte tüketmek geleneksel bir yöntemdir. Öğrenciler sınav dönemlerinde düzenli tüketebilir.</p>
<h3>Ürün Özellikleri</h3>
<ul>
<li>500 gram net ağırlık</li>
<li>%100 doğal çiğ ceviz içi</li>
<li>Hiçbir katkı maddesi, koruyucu veya şeker içermez</li>
<li>Taze ve kaliteli cevizlerden elde edilir</li>
<li>Hijyenik koşullarda özenle paketlenmiştir</li>
<li>Serin ve kuru yerde, hava almayacak şekilde saklanmalıdır</li>
<li>Glutensiz ve vegan</li>
</ul>
<p>Beyin sağlığınız için en doğru tercih <strong>Çiğ Ceviz İçi 500g</strong>'ı hemen sipariş edin, doğal omega-3 deposundan faydalanın!</p>",Ezmeo,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds","","",true,Title,Default Title,,,,,,,,EZMEO-K002,500.0,,deny,manual,411.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Cevizici500g1.Gorsel.jpg?v=1764526624,1,Çiğ ceviz içi taneleri ahşap kase içinde üstten görünüm,false,Çiğ Ceviz İçi 500g - Omega-3 ve Beyin Sağlığı | Ezmeo,"500g çiğ ceviz içi, omega-3 ve antioksidan deposu. Beyin, kalp sağlığı için ideal. %100 doğal, katkısız. Hafıza güçlendirici! Hemen al!",,,,,,,,,,,,,,walnuts,vegetarian; vegan; gluten-free; halal; keto; high-protein,,raw,walnuts,,g,,,active
cig-ceviz-ici-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Cevizici2.fotograf.jpg?v=1764526624,2,Doğal taze çiğ ceviz içi yarımları yakın çekim detay fotoğrafı,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-ceviz-ici-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Cevizici3.fotograf.jpg?v=1764526624,3,Ezmeo markası çiğ ceviz içi 500g doypack ambalaj ürün görseli,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-ceviz-ici-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/1_62701a8e-e66a-44c6-a019-0e9f8cce5276.png?v=1764526624,4,Elden tutulan taze çiğ ceviz içi taneleri doğal ışık,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-ceviz-ici-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/2_9d3f610c-4302-46f4-8594-28ec159f24a7.png?v=1764526624,5,Çiğ ceviz içi taneleri beyaz mermer zemin sağlıklı atıştırmalık,,,,,,,,,,,,,,,,,,,,,,,,,,
kavrulmus-findik-500g,Kavrulmuş Fındık 500G,"<h2>Kavrulmuş Fındık 500g - Gevrek Lezzet, Doğal Tat</h2>
<p><strong>Kavrulmuş fındık</strong>, Türkiye'nin gurur kaynağı kaliteli fındıklarının özel kavurma teknikleriyle işlenmesiyle ortaya çıkan, çıtır çıtır ve aromatik bir lezzettir.</p>
<p>%100 doğal ve tuz içermeyen ürünümüz, E vitamini, B vitaminleri, magnezyum, fosfor, folat ve sağlıklı yağlar açısından son derece zengindir.</p>
<p>Kavrulmuş fındık, çiğ fındığa göre daha yoğun aroması ve çıtır dokusuyla damak zevkinize hitap ederken sağlık faydalarını da korur. Kalp sağlığını destekler, kolesterol dengesini korumaya yardımcı olur ve kan basıncını düzenlemeye katkı sağlar.</p>
<p>Antioksidan özellikleri sayesinde hücre yenilenmesini destekler, bağışıklık sistemini güçlendirir. Omega-9 yağ asitleri içeren fındık, beyin fonksiyonlarını destekler ve enerji metabolizmasını hızlandırır.</p>
<p>Protein ve lif içeriği ile uzun süre tokluk hissi sağlar. Günde bir avuç kavrulmuş fındık tüketmek, günlük vitamin ve mineral ihtiyacınızı karşılamaya yardımcı olur. Ezmeo olarak, en kaliteli fındıkları ustalıkla kavurup hijyenik koşullarda paketliyoruz.</p>
<h3>Kavrulmuş Fındığın Faydaları</h3>
<ul>
<li>Kalp ve damar sağlığını korur, iyi kolesterol seviyesini artırır</li>
<li>E vitamini ile cilt sağlığını destekler, yaşlanmayı geciktirir</li>
<li>Beyin fonksiyonlarını güçlendirir, konsantrasyonu artırır</li>
<li>Kemik ve kas sağlığını destekleyen mineral kaynağıdır</li>
<li>Enerji verir, yorgunluk ve halsizliği azaltır</li>
<li>Sindirim sistemini düzenler, uzun süre tokluk sağlar</li>
<li>Antioksidanlar ile bağışıklık sistemini güçlendirir</li>
</ul>
<h3>Kullanım Önerileri</h3>
<p>Kavrulmuş fındığı direkt olarak atıştırmalık olarak tüketebilir, kahvaltıda gevrek ve yoğurt ile kombinleyebilirsiniz.</p>
<p>Çikolata ve tatlı yapımında, kek ve kurabiye tariflerinde kullanabilirsiniz. Salatalara ekleyerek çıtırlık katabilir, granola karışımlarında değerlendirebilirsiniz. Çay veya kahve yanında ikram için idealdir.</p>
<h3>Ürün Özellikleri</h3>
<ul>
<li>500 gram net ağırlık</li>
<li>%100 doğal kavrulmuş fındık</li>
<li>Tuz, şeker ve katkı maddesi içermez</li>
<li>Özel kavurma tekniği ile işlenmiştir</li>
<li>Türk fındığının eşsiz lezzetini taşır</li>
<li>Hijyenik koşullarda paketlenmiştir</li>
<li>Serin ve kuru ortamda muhafaza edilmelidir</li>
<li>Glutensiz ve vegan</li>
</ul>
<p>Türkiye'nin en lezzetli ürünü <strong>Kavrulmuş Fındık 500g</strong>'ı hemen sipariş edin, gevrek ve aromatik tadın keyfini çıkarın!</p>",Ezmeo,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds","","",true,Title,Default Title,,,,,,,,EZMEO-K001,0.0,,deny,manual,671.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0987/2297/1942/files/kavrulmus-findik-500-g.jpg?v=1764679145,1,Kavrulmuş fındık 500g fındık  taneleri ahşap kase içinde üstten görünüm,false,Kavrulmuş Fındık 500g - Tuzsuz Türk Fındığı | Ezmeo,"500g kavrulmuş fındık, gevrek lezzet ve E vitamini deposu. Tuzsuz, katkısız %100 doğal Türk fındığı. Sağlıklı atıştırmalık! Hemen al!",,,,,,,,,,,,,,nuts,gluten-free; vegan; vegetarian; no-preservatives; no-artificial-colors; no-artificial-flavors; non-gmo,,roasted,hazelnuts,,g,,,active
kavrulmus-findik-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/kavrulmus-findik-kasede-sergileniyor.jpg?v=1764679210,2,Gevrek kavrulmuş fındık taneleri yakın çekim detay fotoğrafı,,,,,,,,,,,,,,,,,,,,,,,,,,
kavrulmus-findik-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/kavrulmus-findik-katmanlari.jpg?v=1764679401,3,Ezmeo markası kavrulmuş fındık 500g doypack ambalaj ürün görseli,,,,,,,,,,,,,,,,,,,,,,,,,,
kavrulmus-findik-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/kavrulmus-findik-doypack.png?v=1764679421,4,Elden dökülen taze kavrulmuş fındık taneleri doğal arka plan,,,,,,,,,,,,,,,,,,,,,,,,,,
kavrulmus-findik-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/kavrulmus-findik-doypackleri-uc-adet.png?v=1764679453,5,Kavrulmuş fındık taneleri ahşap zemin çay bardağı yanında,,,,,,,,,,,,,,,,,,,,,,,,,,
